Año,Meses,Departamento,Provincia,Distrito,Conglomerado,Estratos,Geografico,Visitas,TEM,TNR_Historica_Cong,TNR_Historica_Distrito,TNR_Historica_Departamento,N_HOGAR,TotalPersHogar,TotalMuj12_49,TotalMen_12,TotalMen_6,TotalMen_5,TotalMen_3,DuracionPromedio,TNR,TNR_ALTA,Altitud,Latitud,Longitud
2022,abr,Ayacucho,Huanta,Santillana,3349,Rural,Sierra Centro,1.0,0.0,1.11111111111111,1.11111111111111,1.11111111111111,15,59,17.0,22.0,12.0,10.0,6.0,19.6,0.0,0,2541.286666666667,-12.729650555555557,-74.31294455555556
2022,abr,Ayacucho,La Mar,Anco,276,Rural,Sierra Centro,1.0,0.0,0.0,0.0,0.0,15,53,16.0,19.0,12.0,12.0,8.0,15.0,0.0,0,3756.1800000000007,-13.084575,-73.78694844444446
2022,abr,Ayacucho,La Mar,Santa Rosa,3341,Bajo,Selva,1.9,10.0,0.0,0.0,0.0,10,31,8.0,9.0,7.0,6.0,6.0,18.5,11.1111111111111,1,729.6800000000001,-12.689343833333334,-73.73845349999999
2022,abr,Ayacucho,Parinacochas,Coronel Castañeda,291,Rural,Sierra Centro,1.0,6.66666666666667,0.0,0.0,0.0,15,43,6.0,11.0,6.0,6.0,4.0,17.9,0.0,0,3487.5799999999995,-14.83197,-73.33484722222221
2022,abr,Cajamarca,Cajamarca,Cajamarca,300,Medio Bajo,Sierra Norte,1.4,0.0,6.07638032421853,6.07638032421853,6.07638032421853,10,31,9.0,9.0,6.0,6.0,6.0,17.2,10.0,1,2720.7200000000003,-7.174651,-78.50072016666667
2022,abr,Cajamarca,Celendin,Huasmin,329,Rural,Sierra Norte,1.0,6.66666666666667,5.55555555555556,5.55555555555556,5.55555555555556,15,48,10.0,14.0,5.0,5.0,3.0,21.3,0.0,0,2725.6800000000003,-6.855420222222222,-78.241326
2022,abr,Cajamarca,Celendin,Sucre,330,Rural,Sierra Norte,1.0,0.0,2.38095238095238,2.38095238095238,2.38095238095238,18,58,16.0,15.0,12.0,12.0,8.0,41.6,0.0,0,2620.7750000000005,-6.9416546875,-78.13485843750001
2022,abr,Cajamarca,Chota,Cochabamba,3362,Rural,Costa Norte,1.0,0.0,5.0,5.0,5.0,15,54,15.0,19.0,10.0,9.0,3.0,26.4,6.66666666666667,1,2076.6266666666666,-6.514202111111112,-78.80962611111113
2022,abr,Cajamarca,Jaen,Chontali,322,Rural,Selva,1.0,0.0,10.0,10.0,10.0,15,58,17.0,22.0,13.0,10.0,8.0,24.5,0.0,0,1240.8866666666663,-5.725566555555556,-79.0443023333333
2022,abr,Cajamarca,Jaen,Jaen,309,Medio Bajo,Selva,1.0,0.0,4.16666666666667,4.16666666666667,4.16666666666667,10,35,11.0,12.0,6.0,5.0,3.0,13.9,0.0,0,793.5199999999999,-5.714393666666665,-78.81785083333332
2022,abr,Cajamarca,Jaen,Jaen,3356,Medio,Selva,1.0,0.0,0.0,0.0,3.33333333333333,10,44,14.0,13.0,9.0,9.0,5.0,146.2,0.0,0,786.26,-5.709140833333334,-78.81556283333335
2022,abr,Cajamarca,San Ignacio,La Coipa,319,Rural,Selva,1.0,0.0,2.77777777777778,2.77777777777778,2.77777777777778,15,50,14.0,15.0,10.0,7.0,5.0,19.7,0.0,0,1589.3933333333334,-5.340953222222223,-78.92819888888889
